iter	Passed	Remaining
0	633	632984
1	1076	537280
2	1576	524086
3	1950	485617
4	2197	437277
5	2407	398763
6	2716	385368
7	2940	364597
8	3222	354812
9	3589	355348
10	3794	341194
11	4031	331899
12	4211	319760
13	4363	307299
14	4542	298287
15	4703	289244
16	4946	286016
17	5164	281775
18	5339	275707
19	5527	270850
20	5670	264352
21	5893	261999
22	6058	257357
23	6270	255019
24	6484	252907
25	6651	249193
26	6789	244667
27	6954	241429
28	7105	237907
29	7298	235994
30	7460	233206
31	7613	230309
32	7748	227043
33	7877	223805
34	8002	220644
35	8146	218138
36	8294	215885
37	8437	213592
38	8591	211701
39	8764	210355
40	8938	209070
41	9083	207193
42	9224	205288
43	9363	203447
44	9494	201503
45	9649	200130
46	9794	198592
47	9910	196549
48	10041	194883
49	10161	193070
50	10294	191566
51	10411	189814
52	10531	188183
53	10635	186313
54	10753	184764
55	10878	183372
56	10999	181978
57	11102	180327
58	11220	178964
59	11358	177947
60	11480	176716
61	11596	175439
62	11702	174048
63	11814	172786
64	11911	171347
65	12045	170464
66	12142	169090
67	12260	168045
68	12378	167018
69	12474	165734
70	12583	164648
71	12681	163451
72	12807	162638
73	12902	161460
74	13017	160555
75	13123	159553
76	13227	158552
77	13332	157598
78	13442	156717
79	13543	155752
80	13637	154728
81	13728	153690
82	13815	152636
83	13920	151798
84	14042	151162
85	14125	150123
86	14227	149311
87	14329	148506
88	14442	147828
89	14542	147041
90	14663	146473
91	14763	145710
92	14882	145145
93	14989	144477
94	15102	143873
95	15232	143438
96	15324	142663
97	15448	142184
98	15563	141639
99	15683	141150
100	15811	140734
101	15922	140178
102	16043	139719
103	16182	139420
104	16310	139023
105	16422	138510
106	16523	137897
107	16636	137409
108	16751	136928
109	16862	136436
110	16999	136145
111	17150	135979
112	17256	135457
113	17404	135270
114	17513	134778
115	17648	134496
116	17778	134175
117	17923	133972
118	18051	133642
119	18171	133260
120	18297	132923
121	18411	132500
122	18518	132035
123	18638	131671
124	18748	131238
125	18875	130933
